ProductID;ProductName;ProductDescription;ProductPhoto;CategoryID;BasePrice
1;Digital Визитка Pro;Элегантная и современная одностраничная визитка вашей компании в цифровом пространстве. Включает профессиональное представление компании, детальное описание услуг и преимуществ, встроенную форму обратной связи, интерактивную карту расположения офиса, быстрые ссылки на все социальные сети и мессенджеры. Сайт оптимизирован для всех устройств и содержит счётчик посещений. Идеальное решение для стартапов, фрилансеров и малых предприятий, желающих произвести первое впечатление.;Сайт-визитка.png;1;18500,30
2;ShopMax – Премиум Магазин;Высокопроизводительный онлайн-магазин нового поколения с продвинутыми функциями электронной коммерции. Полноценный каталог товаров с неограниченным количеством позиций, многоуровневые фильтры по цене, характеристикам и отзывам, умная система рекомендаций похожих товаров. Интегрированы все популярные платёжные системы (Яндекс.Касса, Сбербанк, Paypal), система управления складом с отслеживанием остатков, личный кабинет клиента с историей заказов. Полная аналитика продаж в реальном времени и CRM для работы с клиентами.;Интернет-магазин.png;2;60000,00
3;CorporateHub Elite;Авторитетный корпоративный сайт, демонстрирующий профессионализм и масштаб вашей организации. Множество разделов: подробная история компании, полный каталог услуг и решений, команда сотрудников с фото и должностями, новостная лента с последними обновлениями, портфолио завершённых проектов, раздел с отзывами и кейсами клиентов. Встроена передовая CMS для управления контентом без технических знаний, интеграция с внутренними системами (1С, ERP), система документооборота. Мощная аналитика поведения посетителей.;Корпоративный сайт.png;3;44000,66
4;ConvertLand - Высокопродуктивный Лендинг;Специально разработанная целевая страница для максимального захвата внимания и преобразования посетителей в клиентов или лидов. Убедительный сценарий продаж с психологически проверенной структурой, минималистичный дизайн без отвлекающих элементов, привлекающие видеоролики и динамичные изображения. Оптимизированные формы заявок с минимальным количеством полей, счётчик отсчёта времени, социальное доказательство (отзывы, рейтинги). Полная интеграция с email-маркетингом и CRM-системами. Подробная аналитика конверсий каждого элемента.;Лендинг.png;4;10000,00
5;PortfolioShowcase Premium;Профессиональный сайт-портфолио для демонстрации вашего таланта и опыта. Красивая галерея работ с возможностью увеличения, фильтрации по категориям и датам выполнения. Детальные страницы для каждого проекта с описанием задачи, решения, использованных инструментов и результатов. Секция с информацией об авторе, квалификации, опыте и достижениях. Система отзывов от довольных клиентов с рейтингами и фотографиями. Встроённая форма для получения новых заказов и контактная информация.;Портфолио.png;5;13550,99
6;Интеллектуальный Блог;Мощная информационная платформа для публикации и распространения качественного контента. Интуитивная система создания статей с поддержкой богатого форматирования, встраивания видео и инфографики. Автоматическая категоризация и теги для удобной навигации, встроенный поиск по статьям с поддержкой фильтров. Система комментариев с модерацией и уведомлениями, возможность подписки читателей на обновления. Полная оптимизация для SEO, генерация RSS-ленты, интеграция с социальными сетями для автоматического шеринга.;Интелектуальный блог.png;6;11000,00
7;Личный Онлайн-Дневник;Уютное пространство для ведения личного дневника и творческого самовыражения в интернете. Приватные или полуоткрытые записи с контролем доступа, система закрепления важных заметок, галерея фото и видео к записям. Интерактивные элементы: опросы для читателей, стена комментариев, система лайков и рейтинга записей. Красивые темы оформления на выбор, возможность экспорта всех записей. Уведомления о новых комментариях и подписках. Полная конфиденциальность и безопасность данных.;Личный блог.png;6;7000,00
8;Портал Знаний;Масштабный информационный экосистем для размещения и организации большого объёма контента. Многоуровневая иерархия разделов и подразделов для логичной организации информации, динамическая система быстрого поиска по всему контенту, система рекомендений связанных материалов. Виджеты горячих новостей, рейтинга популярного контента и последних обновлений. Персонализация для каждого пользователя на основе его интересов, система уведомлений о новом контенте. Встроённая аналитика популярности материалов.;Информационный портал.png;7;77000,11
9;Динамичный Новостной Портал;Современная платформа для быстрого и эффективного распространения новостей и актуальной информации. Система горячих новостей с автоматическим выдвижением на первый план, категоризация новостей по темам с быстрым переходом между ними. Встроённая система лайков и комментариев для взаимодействия аудитории, возможность поделиться новостью в соцсетях одним кликом. Push-уведомления на мобильные устройства об важных новостях, RSS-лента для подписки. Полная оптимизация для поисковых систем и быстрой индексации.;Новостной сайт.png;8;30000,00
10;Cайт Форум;Живое интернет-сообщество для обсуждения интересующих вас тем и обмена ценным опытом. Удобная структура разделов и подразделов по различным категориям, древовидная структура тем и ответов для логичного диалога. Система репутации пользователей, значки и звания для активных участников, приватные сообщения между пользователями. Мощная модераторская панель для контроля качества контента, система автомодерации от спама и оскорблений. Интеграция с соцсетями для удобного входа, уведомления об ответах на ваши посты.;Форум.png;9;19080,99
